komentar,label
Mau berapa T harus tetap terwujud karena nilai suatu bangsa jika mampu mewujudkan cita-cita nya para pejuang nya.<br>Itu sudah di cetuskan dari dan oleh presiden pertama yang merupakan sang proklamator !!!.<br>👍👍👍,1
"Bagus iya, tp mungkin kondisi negara sekarang mungkin belum tepat. Tepat nya mungkin besok atau lain x",1
PR Indonesia adalah kesenjangan sosial dan kebijakan sekarang koq malah sepertinya akan menambah jurang ini......,0
raymond chin ini pemuda berwawasan : tinggi omong ngak asal omong .....sukses atas  apresiasi atas pindah IKN yang byk ...disinyalir akan mangkrak tapi krn  berpikir : tuk masa depan harus tetap berjln dan sukses wajib dukung.,1
Itu kenapa banyak  pekerja pekerjaan IKN yang belum dibayar dan pembebasan tanah warga juga belum diberi ganti rugi ..buat bayar pekerja dan ganti tanah warga saja tidak ada uangnya apalagi mau melanjutkan pembangunan IKN,0
Daya kritismu menurun banget. Sy setuju dgn yg dikatakan orang: influencer cair. 😂,0
1. MEROBOHKAN  DEMOKRASI !!!<br>2 . MENYUBURKAN  KORUPSI<br>3 . HARGA²  MELAMBUNG TINGGI <br>4 . KKN ( KORUPSI  KOLOSI NEPOTISME  )<br>dll,0
"Bhinnika Tunggal Ika, saya pendukung IKN sejak awal(tahun 2019) waktu pak Jokowi pamit di DPR RI tgl 16 Agustus 2019, jika IKN tetap lanjut jangan pernah pilih  Anies sebagai Capres RI",1
Tanah disitu hanya milik beberapa orang dan yg udh lama tinggal disitu pada protes... trus siapa yang diuntungkan?,0
Indonesia tdk akan capai Indonesia emas  pada tahun 2045 ???!?!???!??<br>Karena . <br>Ekonomi Indonesia sdh dikuasai cina di Indonesia barat dan  Amerika / USA di Indonesia Timur.<br>Mungkin saja Indonesia sdh terbagi 2. <br>Indonesia Timur ibukota ikn <br>Indonesia barat jakarta. <br>Maka carilah pemimpin  Indonesia yg pandai buat hutang tetapi juga jago hitung ekonomi dan bayar hutang ...... <br>Jangan tertipu dengan oligarki dunia.....,0
"Jika Ibu Kota tidak kondusif maka pemerintahan akan terganggu dan berimbas ke sangat banyak hal lainnya. Pemindahan IBUKOTA NEGARA tentu sangat diperhitungkan. Saya yakin sekali jika IKN selesai dan pusat pemerintahan sudah pindah maka Indonesia akan lebih stabil dan maju. <br>Pihak-pihak yg ingin menggagalkan IKN adalah musuh negara, USA, Eropa dll. Sy yakin dengan segala upaya mereka akan berusaha agar IKN gagal karena pemindahan IBU KOTA NEGARA sangat berefek sekali. Ada banyak hal-hal yg mereka (musuh2 negara) takutkan.",1
"Buat jaga muka, padahal Indonesia ini seperti apa dunia tau semua.",0
