komentar,label,cleaned_text,casefolding,text_tokens,stopword_removal
Mau berapa T harus tetap terwujud karena nilai suatu bangsa jika mampu mewujudkan cita-cita nya para pejuang nya.<br>Itu sudah di cetuskan dari dan oleh presiden pertama yang merupakan sang proklamator !!!.<br>👍👍👍,1,Mau berapa harus tetap terwujud karena nilai suatu bangsa jika mampu mewujudkan citacita nya para pejuang nyabrItu sudah cetuskan dari dan oleh presiden pertama yang merupakan sang proklamator,mau berapa harus tetap terwujud karena nilai suatu bangsa jika mampu mewujudkan citacita nya para pejuang nyabritu sudah cetuskan dari dan oleh presiden pertama yang merupakan sang proklamator,"['mau', 'berapa', 'harus', 'tetap', 'terwujud', 'karena', 'nilai', 'suatu', 'bangsa', 'jika', 'mampu', 'mewujudkan', 'citacita', 'nya', 'para', 'pejuang', 'nyabritu', 'sudah', 'cetuskan', 'dari', 'dan', 'oleh', 'presiden', 'pertama', 'yang', 'merupakan', 'sang', 'proklamator']",terwujud nilai bangsa mewujudkan citacita nya pejuang nyabritu cetuskan presiden sang proklamator
"Bagus iya, tp mungkin kondisi negara sekarang mungkin belum tepat. Tepat nya mungkin besok atau lain x",1,Bagus iya mungkin kondisi negara sekarang mungkin belum tepat Tepat nya mungkin besok atau lain,bagus iya mungkin kondisi negara sekarang mungkin belum tepat tepat nya mungkin besok atau lain,"['bagus', 'iya', 'mungkin', 'kondisi', 'negara', 'sekarang', 'mungkin', 'belum', 'tepat', 'tepat', 'nya', 'mungkin', 'besok', 'atau', 'lain']",bagus iya kondisi negara nya besok
PR Indonesia adalah kesenjangan sosial dan kebijakan sekarang koq malah sepertinya akan menambah jurang ini......,0,Indonesia adalah kesenjangan sosial dan kebijakan sekarang koq malah sepertinya akan menambah jurang ini,indonesia adalah kesenjangan sosial dan kebijakan sekarang koq malah sepertinya akan menambah jurang ini,"['indonesia', 'adalah', 'kesenjangan', 'sosial', 'dan', 'kebijakan', 'sekarang', 'koq', 'malah', 'sepertinya', 'akan', 'menambah', 'jurang', 'ini']",indonesia kesenjangan sosial kebijakan koq menambah jurang
raymond chin ini pemuda berwawasan : tinggi omong ngak asal omong .....sukses atas  apresiasi atas pindah IKN yang byk ...disinyalir akan mangkrak tapi krn  berpikir : tuk masa depan harus tetap berjln dan sukses wajib dukung.,1,raymond chin ini pemuda berwawasan tinggi omong ngak asal omong sukses atas apresiasi atas pindah IKN yang byk disinyalir akan mangkrak tapi krn berpikir tuk masa depan harus tetap berjln dan sukses wajib dukung,raymond chin ini pemuda berwawasan tinggi omong ngak asal omong sukses atas apresiasi atas pindah ikn yang byk disinyalir akan mangkrak tapi krn berpikir tuk masa depan harus tetap berjln dan sukses wajib dukung,"['raymond', 'chin', 'ini', 'pemuda', 'berwawasan', 'tinggi', 'omong', 'ngak', 'asal', 'omong', 'sukses', 'atas', 'apresiasi', 'atas', 'pindah', 'ikn', 'yang', 'byk', 'disinyalir', 'akan', 'mangkrak', 'tapi', 'krn', 'berpikir', 'tuk', 'masa', 'depan', 'harus', 'tetap', 'berjln', 'dan', 'sukses', 'wajib', 'dukung']",raymond chin pemuda berwawasan omong ngak omong sukses apresiasi pindah ikn byk disinyalir mangkrak krn berpikir tuk berjln sukses wajib dukung
Itu kenapa banyak  pekerja pekerjaan IKN yang belum dibayar dan pembebasan tanah warga juga belum diberi ganti rugi ..buat bayar pekerja dan ganti tanah warga saja tidak ada uangnya apalagi mau melanjutkan pembangunan IKN,0,Itu kenapa banyak pekerja pekerjaan IKN yang belum dibayar dan pembebasan tanah warga juga belum diberi ganti rugi buat bayar pekerja dan ganti tanah warga saja tidak ada uangnya apalagi mau melanjutkan pembangunan IKN,itu kenapa banyak pekerja pekerjaan ikn yang belum dibayar dan pembebasan tanah warga juga belum diberi ganti rugi buat bayar pekerja dan ganti tanah warga saja tidak ada uangnya apalagi mau melanjutkan pembangunan ikn,"['itu', 'kenapa', 'banyak', 'pekerja', 'pekerjaan', 'ikn', 'yang', 'belum', 'dibayar', 'dan', 'pembebasan', 'tanah', 'warga', 'juga', 'belum', 'diberi', 'ganti', 'rugi', 'buat', 'bayar', 'pekerja', 'dan', 'ganti', 'tanah', 'warga', 'saja', 'tidak', 'ada', 'uangnya', 'apalagi', 'mau', 'melanjutkan', 'pembangunan', 'ikn']",pekerja pekerjaan ikn dibayar pembebasan tanah warga ganti rugi bayar pekerja ganti tanah warga uangnya melanjutkan pembangunan ikn
Daya kritismu menurun banget. Sy setuju dgn yg dikatakan orang: influencer cair. 😂,0,Daya kritismu menurun banget setuju dgn dikatakan orang influencer cair,daya kritismu menurun banget setuju dgn dikatakan orang influencer cair,"['daya', 'kritismu', 'menurun', 'banget', 'setuju', 'dgn', 'dikatakan', 'orang', 'influencer', 'cair']",daya kritismu menurun banget setuju dgn orang influencer cair
1. MEROBOHKAN  DEMOKRASI !!!<br>2 . MENYUBURKAN  KORUPSI<br>3 . HARGA²  MELAMBUNG TINGGI <br>4 . KKN ( KORUPSI  KOLOSI NEPOTISME  )<br>dll,0,MEROBOHKAN DEMOKRASI MENYUBURKAN KORUPSIbr HARGA MELAMBUNG TINGGI KKN KORUPSI KOLOSI NEPOTISME brdll,merobohkan demokrasi menyuburkan korupsibr harga melambung tinggi kkn korupsi kolosi nepotisme brdll,"['merobohkan', 'demokrasi', 'menyuburkan', 'korupsibr', 'harga', 'melambung', 'tinggi', 'kkn', 'korupsi', 'kolosi', 'nepotisme', 'brdll']",merobohkan demokrasi menyuburkan korupsibr harga melambung kkn korupsi kolosi nepotisme brdll
"Bhinnika Tunggal Ika, saya pendukung IKN sejak awal(tahun 2019) waktu pak Jokowi pamit di DPR RI tgl 16 Agustus 2019, jika IKN tetap lanjut jangan pernah pilih  Anies sebagai Capres RI",1,Bhinnika Tunggal Ika saya pendukung IKN sejak awaltahun waktu pak Jokowi pamit DPR tgl Agustus jika IKN tetap lanjut jangan pernah pilih Anies sebagai Capres,bhinnika tunggal ika saya pendukung ikn sejak awaltahun waktu pak jokowi pamit dpr tgl agustus jika ikn tetap lanjut jangan pernah pilih anies sebagai capres,"['bhinnika', 'tunggal', 'ika', 'saya', 'pendukung', 'ikn', 'sejak', 'awaltahun', 'waktu', 'pak', 'jokowi', 'pamit', 'dpr', 'tgl', 'agustus', 'jika', 'ikn', 'tetap', 'lanjut', 'jangan', 'pernah', 'pilih', 'anies', 'sebagai', 'capres']",bhinnika tunggal ika pendukung ikn awaltahun jokowi pamit dpr tgl agustus ikn pilih anies capres
Tanah disitu hanya milik beberapa orang dan yg udh lama tinggal disitu pada protes... trus siapa yang diuntungkan?,0,Tanah disitu hanya milik beberapa orang dan udh lama tinggal disitu pada protes trus siapa yang diuntungkan,tanah disitu hanya milik beberapa orang dan udh lama tinggal disitu pada protes trus siapa yang diuntungkan,"['tanah', 'disitu', 'hanya', 'milik', 'beberapa', 'orang', 'dan', 'udh', 'lama', 'tinggal', 'disitu', 'pada', 'protes', 'trus', 'siapa', 'yang', 'diuntungkan']",tanah disitu milik orang udh tinggal disitu protes trus diuntungkan
Indonesia tdk akan capai Indonesia emas  pada tahun 2045 ???!?!???!??<br>Karena . <br>Ekonomi Indonesia sdh dikuasai cina di Indonesia barat dan  Amerika / USA di Indonesia Timur.<br>Mungkin saja Indonesia sdh terbagi 2. <br>Indonesia Timur ibukota ikn <br>Indonesia barat jakarta. <br>Maka carilah pemimpin  Indonesia yg pandai buat hutang tetapi juga jago hitung ekonomi dan bayar hutang ...... <br>Jangan tertipu dengan oligarki dunia.....,0,Indonesia tdk akan capai Indonesia emas pada tahun brKarena brEkonomi Indonesia sdh dikuasai cina Indonesia barat dan Amerika USA Indonesia TimurbrMungkin saja Indonesia sdh terbagi brIndonesia Timur ibukota ikn brIndonesia barat jakarta brMaka carilah pemimpin Indonesia pandai buat hutang tetapi juga jago hitung ekonomi dan bayar hutang brJangan tertipu dengan oligarki dunia,indonesia tdk akan capai indonesia emas pada tahun brkarena brekonomi indonesia sdh dikuasai cina indonesia barat dan amerika usa indonesia timurbrmungkin saja indonesia sdh terbagi brindonesia timur ibukota ikn brindonesia barat jakarta brmaka carilah pemimpin indonesia pandai buat hutang tetapi juga jago hitung ekonomi dan bayar hutang brjangan tertipu dengan oligarki dunia,"['indonesia', 'tdk', 'akan', 'capai', 'indonesia', 'emas', 'pada', 'tahun', 'brkarena', 'brekonomi', 'indonesia', 'sdh', 'dikuasai', 'cina', 'indonesia', 'barat', 'dan', 'amerika', 'usa', 'indonesia', 'timurbrmungkin', 'saja', 'indonesia', 'sdh', 'terbagi', 'brindonesia', 'timur', 'ibukota', 'ikn', 'brindonesia', 'barat', 'jakarta', 'brmaka', 'carilah', 'pemimpin', 'indonesia', 'pandai', 'buat', 'hutang', 'tetapi', 'juga', 'jago', 'hitung', 'ekonomi', 'dan', 'bayar', 'hutang', 'brjangan', 'tertipu', 'dengan', 'oligarki', 'dunia']",indonesia tdk capai indonesia emas brkarena brekonomi indonesia sdh dikuasai cina indonesia barat amerika usa indonesia timurbrmungkin indonesia sdh terbagi brindonesia timur ibukota ikn brindonesia barat jakarta brmaka carilah pemimpin indonesia pandai hutang jago hitung ekonomi bayar hutang brjangan tertipu oligarki dunia
